Student Evaluation Center;Ages 18-21;(503)256-6549;;2200 SE 122nd Ave;Portland;OR;97236;David Douglas School District 40;1;1;0
Center for Advanced Learning CAL Subs;9-12;(503)667-49-78;;1484 NW Civic Drive;Gresham;OR;97030;Gresham-Barlow SD 10J;0;1;0
Structure Skills Center;K-12;(503)667-4669;;1440 SE Fleming Avenue;Gresham;OR;97030;Gresham-Barlow SD 10J;0;1;1
Student Support Services;Ages 18-21;(503)663-5422;;5039 SE Chase Road;Gresham;OR;97080;Gresham-Barlow SD 10J;0;1;1
Reynolds MS;6-8;(503) 665-8166;stalus@rsd7.net;1200 NE 201 ST;Fairview;OR;97024-9623;Reynolds School District 7;0;0;0
Reynolds Learning Academy West;9-12;(503) 667-4673;jmccauley@rsd7.net;20234 NE Halsey;Fairview;OR;97024;Reynolds School District 7;1;1;0
Riverdale High School;9-12;(503) 262-4844;probinson@riverdale.k12.or.us;9727 SW Terwilliger Blvd.;Portland;OR;97219;Riverdale School District 51J;0;0;0
Woodland;K-5;(503) 674-8188;mclutter@rsd7.net;21607 NE Glisan;Fairview;OR;97024;Reynolds School District 7;0;0;0
Centennial Learning Center;7-12;(503) 762-3202;jamie_juenemann@centennial.k12.or.us;17630 SE Main;Portland;OR;97233;Centennial SD 28J;1;0;0
Walt Morey MS;6-8;(503) 491-1935;dreardon@rsd7.net;2801 SE Lucas;Troutdale;OR;97060-1287;Reynolds School District 7;0;0;0
Earl Boyles;K-5;(503) 256-6554;ericka_guynes@ddouglas.k12.or.us;10822 SE Bush St;Portland;OR;97266;David Douglas School District 40;0;0;0
Butler Creek;K-6;(503) 762-6100;james_owens@centennial.k12.or.us;2789 SW Butler Rd;Gresham;OR;97080;Centennial SD 28J;0;0;0
Salish Ponds;K-5;(503) 492-7260;lsmith@rsd7.net;1210 NE 201st Ave;Fairview;OR;97024;Reynolds School District 7;0;0;0
Ron Russell MS;6-8;(503) 256-6519;andrew_long@ddouglas.k12.or.us;3955 SE 112th;Portland;OR;97266;David Douglas School District 40;0;0;0
Four Corners;K-6;(503) 328-0420;;14513 SE Stark;Portland;OR;97233;Reynolds School District 7;0;1;1
Prescott;K-5;(503) 408-2150;michael.lopes@parkrose.k12.or.us;10410 NE Prescott St;Portland;OR;97220-3498;Parkrose School District 3;0;0;0
Russell Academy;K-5;(503) 408-2750;debbie_ebert@parkrose.k12.or.us;2700 NE 127th AV;Portland;OR;97230-1699;Parkrose School District 3;0;0;0
Sacramento;K-5;(503) 408-2800;stevie_blakely@parkrose.k12.or.us;11400 NE Sacramento St;Portland;OR;97220-1899;Parkrose School District 3;0;0;0
Shaver;K-5;(503) 408-2850;michael_hyder@parkrose.k12.or.us;3701 NE 131st  Pl;Portland;OR;97230-2868;Parkrose School District 3;0;0;0
Parkrose MS;6-8;(503) 408-2900;molly_davies@parkrose.k12.or.us;11800 NE Shaver St;Portland;OR;97220-1498;Parkrose School District 3;0;0;0
Parkrose HS;9-12;(503) 408-2600;ana_gonzalez@parkrose.k12.or.us;12003 NE Shaver St.;Portland;OR;97220;Parkrose School District 3;0;0;0
Alder;K-5;(503) 255-4673;bholliman@rsd7.net;17200 SE Alder St;Portland;OR;97233-4260;Reynolds School District 7;0;0;0
Fairview;K-5;(503) 667-2954;kmclauglin@rsd7.net;225 Main St;Fairview;OR;97024-1704;Reynolds School District 7;0;0;0
Glenfair;K-5;(503) 252-3479;tking@rsd7.net;15300 NE Glisan St;Portland;OR;97230;Reynolds School District 7;0;0;0
Hartley;K-5;(503) 665-0134;lconley@rsd7.net;701 NE 185th Pl;Portland;OR;97230;Reynolds School District 7;0;0;0
Scott;K-5;(503) 255-2031;;14700 NE Sacramento;Portland;OR;97230;Reynolds School District 7;0;0;0
Davis;K-5;(503)665-9193;sbassett@rsd7.net;19501 NE Davis St;Portland;OR;97230-8035;Reynolds School District 7;0;0;0
Sweetbriar;K-5;(503) 666-9441;ldarnold@rsd7.net;501 SE Sweetbriar LN;Troutdale;OR;97060;Reynolds School District 7;0;0;0
Troutdale;K-5;(503)665-4182;sjohnson@rsd7.net;648 SE Harlow;Troutdale;OR;97060;Reynolds School District 7;0;0;0
Wilkes;K-5;(503) 255-6133;lmcdonald@rsd7.net;17020 NE Wilkes Rd;Portland;OR;97230;Reynolds School District 7;0;0;0
Reynolds HS;9-12;(503) 667-3186;smckinney@rsd7.net;1698 SW Cherry Park Road;Troutdale;OR;97060-9633;Reynolds School District 7;0;0;0
Lynch Meadows;K-6;(503) 762-3208;laura_fendall@centennial.k12.or.us;18009 SE Brooklyn St;Portland;OR;97236-1098;Centennial SD 28J;0;0;0
Centennial MS;7-8;(503) 762-3206;doug_cook@centennial.k12.or.us;17650 SE Brooklyn St;Portland;OR;97236;Centennial SD 28J;0;0;0
Oliver;K-6;(503) 762-3207;ben_egbers@centennial.k12.or.us;15840 SE Taylor St;Portland;OR;97233;Centennial SD 28J;0;0;0
Parklane;K-6;(503) 762-3205;karen_weinert@centennial.k12.or.us;15811 SE Main St;Portland;OR;97233;Centennial SD 28J;0;0;0
Lynch View;K-6;(503) 762-3203;lynn_blevens@centennial .k12.or.us;1546 SE 169th PL;Portland;OR;97233;Centennial SD 28J;0;0;0
Lynch Wood;K-6;(503) 762-3204;andrea_sande@centennial.k12.or.us;3615 SE 174th St.;Portland;OR;97236;Centennial SD 28J;0;0;0
Pleasant Valley;K-6;(503) 762-3209;laurie_enstrom@centennial.k12.or.us;17625 SE Foster Rd;Portland;OR;97080-9926;Centennial SD 28J;0;0;0
Centennial HS;9-12;(503) 762-6180;kevin_ricker@centennial.k12.or.us;3503 SE 182nd;Gresham;OR;97030;Centennial SD 28J;0;0;0
Corbett Grade;K-6;(503) 261-4236;;35800 E Hist Columbia River Hw;Corbett;OR;97019-9629;Corbett School District 39;0;0;0
Corbett Charter School;K-12;(503)261-4221;bdunton@corbett.k12.or.us;35800 E Hist Columbia River Hw;Corbett;OR;97019;Corbett Charter School;0;0;0
Corbett MS/HS;7-12;(503) 261-4226;;35800 E Hist Columbia River Hw;Corbett;OR;97019;Corbett School District 39;0;0;0
Cherry Park;K-5;(503) 256-6501;kate_barker@ddouglas.k12.or.us;1930 SE 104th Ave;Portland;OR;97216;David Douglas School District 40;0;0;0
Gilbert Heights;K-5;(503) 256-6502;cherie-ann_may@ddoughlas.k12.or.us;12839 SE Holgate Blvd;Portland;OR;97236;David Douglas School District 40;0;0;0
Gilbert Park;K-5;(503) 256-6531;stacie_moncrief@ddouglas.k12.or.us;13132 SE Ramona St;Portland;OR;97236;David Douglas School District 40;0;0;0
Lincoln Park;K-5;(503) 256-6504;rebecca_chase@ddouglas.k12.or.us;13200 SE Lincoln St;Portland;OR;97233;David Douglas School District 40;0;0;0
Menlo Park;K-5;(503) 256-6506;elise_guest@ddoughlas.k12.or.us;12900 NE Glisan St;Portland;OR;97230;David Douglas School District 40;0;0;0
Mill Park;K-5;(503) 256-6507;rolando_florez@ddouglas.k12.or.us;1900 SE 117th Ave;Portland;OR;97216;David Douglas School District 40;0;0;0
Ventura Park;K-5;(503) 256-6508;jakob_curtis@ddouglas.k12.or.us;145 SE 117th Ave;Portland;OR;97216;David Douglas School District 40;0;0;0
West Powelhurst;K-5;(503) 256-6509;allen_browning@ddoughlas.k12.or.us;2921 SE 116th Ave;Portland;OR;97266;David Douglas School District 40;0;0;0
